GO-term	Name	Category	NumberOfProteinsInNetwork	TPD	P-value	FDR	ProteinAccessions	ProteinNames
GO:0048522	positive regulation of cellular process	biological_process	64	10915	0.064540154	0.26221336	Q08117|P62330|P61586|Q15904|P19784|P67870|P26358|Q7KZI7|P55085|O95573|P35556|P63218|Q08379|P13984|Q92769|P09601|P14735|P05556|Q08431|Q9HCE1|P52948|P16435|P50897|P17612|P13861|P31323|P62820|P11233|P35241|Q92900|O76024|P51149|O00203|Q13546|O14745|Q66GS9|P62877|Q99996|Q9H4P4|O43823|Q12907|O14578|O95684|Q92552|Q92615|Q13868|O60885|P37198|Q9UH99|Q9NY61|P11940|Q9UHD2|Q9UJZ1|Q9NQT5|Q8N4C6|Q96SN8|Q9H270|Q9NQC3|Q8IWA5|Q86YT6|Q9BQQ3|Q8NBJ5|Q9H7Z7|Q4KMQ2|	AES|ARF6|RHOA|ATP6AP1|CSNK2A2|CSNK2B|DNMT1|MARK2|F2RL1|ACSL3|FBN2|GNG5|GOLGA2|GTF2F2|HDAC2|HMOX1|IDE|ITGB1|MFGE8|MOV10|NUP98|POR|PPT1|PRKACA|PRKAR2A|PRKAR2B|RAB1A|RALA|RDX|UPF1|WFS1|RAB7A|AP3B1|RIPK1|SLC9A3R1|CEP135|RBX1|AKAP9|RNF41|AKAP8|LMAN2|CIT|FGFR1OP|MRPS27|LARP4B|EXOSC2|BRD4|NUP62|SUN2|AATF|PABPC1|TBK1|STOML2|EXOSC3|NIN|CDK5RAP2|VPS11|RTN4|SLC44A2|MIB1|GORASP1|COLGALT1|PTGES2|ANO6|
GO:0048523	negative regulation of cellular process	biological_process	48	6065	0.211652186	0.439633639	Q08117|P62330|P61586|P49454|P19784|P67870|P26358|P55085|P35555|P35556|P06280|Q08379|Q92769|P09601|P14735|P05556|P27448|Q9HCE1|P16435|P50897|P17612|P13861|P31323|P35241|Q92900|Q04724|Q04726|O76024|P51149|Q13617|Q13546|O14745|P62877|Q13283|Q9H4P4|O00566|Q9Y4L1|Q13438|O95684|P37198|Q9NY61|P11940|Q96DZ1|Q96SN8|Q9NQC3|Q86YT6|Q9BQQ3|Q8N183|	AES|ARF6|RHOA|CENPF|CSNK2A2|CSNK2B|DNMT1|F2RL1|FBN1|FBN2|GLA|GOLGA2|HDAC2|HMOX1|IDE|ITGB1|MARK3|MOV10|POR|PPT1|PRKACA|PRKAR2A|PRKAR2B|RDX|UPF1|TLE1|TLE3|WFS1|RAB7A|CUL2|RIPK1|SLC9A3R1|RBX1|G3BP1|RNF41|MPHOSPH10|HYOU1|OS9|FGFR1OP|NUP62|AATF|PABPC1|ERLEC1|CDK5RAP2|RTN4|MIB1|GORASP1|NDUFAF2|
GO:0048524	positive regulation of viral process	biological_process	3	12	0.204949155	0.432523051	P27105|P51149|P11940|	STOM|RAB7A|PABPC1|
GO:0048534	hematopoietic or lymphoid organ development	biological_process	4	21	0.080927689	0.26221336	P61586|P55085|P05556|Q13310|	RHOA|F2RL1|ITGB1|PABPC4|
GO:0048562	embryonic organ morphogenesis	biological_process	4	15	0.014437698	0.109433962	P35555|P35556|O14745|Q86YT6|	FBN1|FBN2|SLC9A3R1|MIB1|
GO:0048568	embryonic organ development	biological_process	4	15	0.014437698	0.109433962	P35555|P35556|O14745|Q86YT6|	FBN1|FBN2|SLC9A3R1|MIB1|
GO:0048583	regulation of response to stimulus	biological_process	41	4567	0.435458748	0.683948864	Q08117|P62330|P61586|Q15904|P19784|P67870|P55085|P35555|P35556|P55789|Q92769|P09601|P05556|P27448|P16435|P17612|P35241|Q04724|Q04726|O76024|P51149|O76061|Q13546|O14745|P62877|Q99996|Q13283|Q9H4P4|Q9Y4L1|Q13438|O75592|O60885|P37198|Q96DZ1|Q9UHD2|Q9UJZ1|Q9NQT5|Q9NQC3|Q8IWA5|Q8N183|Q4KMQ2|	AES|ARF6|RHOA|ATP6AP1|CSNK2A2|CSNK2B|F2RL1|FBN1|FBN2|GFER|HDAC2|HMOX1|ITGB1|MARK3|POR|PRKACA|RDX|TLE1|TLE3|WFS1|RAB7A|STC2|RIPK1|SLC9A3R1|RBX1|AKAP9|G3BP1|RNF41|HYOU1|OS9|MYCBP2|BRD4|NUP62|ERLEC1|TBK1|STOML2|EXOSC3|RTN4|SLC44A2|NDUFAF2|ANO6|
GO:0048584	positive regulation of response to stimulus	biological_process	19	981	0.37540424	0.617100372	P61586|Q15904|P67870|P55085|Q92769|P09601|P05556|P16435|P17612|Q13546|O14745|O60885|P37198|Q9UHD2|Q9UJZ1|Q9NQT5|Q9NQC3|Q8IWA5|Q4KMQ2|	RHOA|ATP6AP1|CSNK2B|F2RL1|HDAC2|HMOX1|ITGB1|POR|PRKACA|RIPK1|SLC9A3R1|BRD4|NUP62|TBK1|STOML2|EXOSC3|RTN4|SLC44A2|ANO6|
GO:0048585	negative regulation of response to stimulus	biological_process	23	1274	0.25273935	0.473127036	Q08117|P61586|P19784|P55085|P35555|P35556|P09601|P05556|P27448|P17612|Q04724|Q04726|O76024|P51149|Q13546|O14745|P62877|Q13283|Q9Y4L1|Q13438|P37198|Q96DZ1|Q8N183|	AES|RHOA|CSNK2A2|F2RL1|FBN1|FBN2|HMOX1|ITGB1|MARK3|PRKACA|TLE1|TLE3|WFS1|RAB7A|RIPK1|SLC9A3R1|RBX1|G3BP1|HYOU1|OS9|NUP62|ERLEC1|NDUFAF2|
GO:0048589	developmental growth	biological_process	4	29	0.362863096	0.611028316	P12109|P05556|Q15056|Q8N4C6|	COL6A1|ITGB1|EIF4H|NIN|
GO:0048598	embryonic morphogenesis	biological_process	9	98	3.30E-04	0.009118541	P12109|P35555|P35556|Q92769|P05556|P17612|P11233|O14745|Q86YT6|	COL6A1|FBN1|FBN2|HDAC2|ITGB1|PRKACA|RALA|SLC9A3R1|MIB1|
GO:0048608	reproductive structure development	biological_process	3	20	0.808820532	0.978115502	O75534|O76061|Q96DA6|	CSDE1|STC2|DNAJC19|
GO:0048609	multicellular organismal reproductive process	biological_process	6	57	0.063942592	0.26221336	P19784|P05556|P17612|P25440|O76061|P37198|	CSNK2A2|ITGB1|PRKACA|BRD2|STC2|NUP62|
GO:0048638	regulation of developmental growth	biological_process	3	13	0.270376671	0.495238095	P16435|O76061|Q9NQC3|	POR|STC2|RTN4|
GO:0048646	anatomical structure formation involved in morphogenesis	biological_process	9	123	0.006454071	0.109433962	P12109|P35556|Q92769|P09601|P05556|Q08431|P17612|P11233|Q86YT6|	COL6A1|FBN2|HDAC2|HMOX1|ITGB1|MFGE8|PRKACA|RALA|MIB1|
GO:0048666	neuron development	biological_process	11	227	0.040112705	0.26221336	P61586|Q7KZI7|Q92769|P05556|P61006|P50897|O14745|P61026|O75592|Q8N4C6|Q9NQC3|	RHOA|MARK2|HDAC2|ITGB1|RAB8A|PPT1|SLC9A3R1|RAB10|MYCBP2|NIN|RTN4|
GO:0048667	cell morphogenesis involved in neuron differentiation	biological_process	6	52	0.031122813	0.26221336	P05556|P61006|O14745|P61026|O75592|Q8N4C6|	ITGB1|RAB8A|SLC9A3R1|RAB10|MYCBP2|NIN|
GO:0048699	generation of neurons	biological_process	17	518	0.001640241	0.034602076	P62330|P61586|Q7KZI7|Q92769|P05556|Q9P0L2|P61006|P50897|O14745|P61026|O14578|O75592|Q8N4C6|Q96SN8|Q9NQC3|Q86YT6|Q9BQQ3|	ARF6|RHOA|MARK2|HDAC2|ITGB1|MARK1|RAB8A|PPT1|SLC9A3R1|RAB10|CIT|MYCBP2|NIN|CDK5RAP2|RTN4|MIB1|GORASP1|
GO:0048729	tissue morphogenesis	biological_process	9	85	5.15E-05	0.009118541	P61586|P12109|P67870|P05556|P17612|P11233|O14745|P61026|Q86YT6|	RHOA|COL6A1|CSNK2B|ITGB1|PRKACA|RALA|SLC9A3R1|RAB10|MIB1|
GO:0048731	system development	biological_process	42	4365	0.031404507	0.26221336	Q08117|P62330|P61586|P49454|P12109|P19784|P67870|Q7KZI7|P55085|O95573|P35555|P35556|P62873|Q92769|P09601|P05556|Q9P0L2|P61006|Q08431|P50897|P17612|P11233|Q04724|Q04726|O76024|O75534|O76061|Q13310|O14745|P61026|O14578|Q9NP72|O75592|Q9UH99|Q9NQT5|Q8N4C6|Q96SN8|Q9NQC3|Q86YT6|Q9BQQ3|Q96DA6|Q4KMQ2|	AES|ARF6|RHOA|CENPF|COL6A1|CSNK2A2|CSNK2B|MARK2|F2RL1|ACSL3|FBN1|FBN2|GNB1|HDAC2|HMOX1|ITGB1|MARK1|RAB8A|MFGE8|PPT1|PRKACA|RALA|TLE1|TLE3|WFS1|CSDE1|STC2|PABPC4|SLC9A3R1|RAB10|CIT|RAB18|MYCBP2|SUN2|EXOSC3|NIN|CDK5RAP2|RTN4|MIB1|GORASP1|DNAJC19|ANO6|
GO:0048732	gland development	biological_process	5	43	0.183301105	0.401050788	P62330|P19784|P67870|P09601|O14745|	ARF6|CSNK2A2|CSNK2B|HMOX1|SLC9A3R1|
GO:0048770	pigment granule	cellular_component	7	72	0.017259321	0.109433962	P27105|P05556|P62820|P61019|P51148|P51149|Q92820|	STOM|ITGB1|RAB1A|RAB2A|RAB5C|RAB7A|GGH|
GO:0048812	neuron projection morphogenesis	biological_process	6	48	0.016251066	0.109433962	P61586|P05556|P61006|P61026|O75592|Q8N4C6|	RHOA|ITGB1|RAB8A|RAB10|MYCBP2|NIN|
GO:0048856	anatomical structure development	biological_process	48	5844	0.060801985	0.26221336	Q08117|P62330|P61586|P49454|P12109|P19784|P67870|P26358|Q7KZI7|P55085|O95573|P35555|P35556|P62873|Q92769|P09601|P14735|P05556|Q9P0L2|P61006|Q08431|P50897|P17612|P62820|P11233|P35241|Q04724|Q04726|O76024|O75534|O76061|Q13310|O14745|P61962|P61026|O14578|Q9NP72|O75592|Q9UH99|Q9NY61|Q9NQT5|Q8N4C6|Q96SN8|Q9NQC3|Q86YT6|Q9BQQ3|Q96DA6|Q4KMQ2|	AES|ARF6|RHOA|CENPF|COL6A1|CSNK2A2|CSNK2B|DNMT1|MARK2|F2RL1|ACSL3|FBN1|FBN2|GNB1|HDAC2|HMOX1|IDE|ITGB1|MARK1|RAB8A|MFGE8|PPT1|PRKACA|RAB1A|RALA|RDX|TLE1|TLE3|WFS1|CSDE1|STC2|PABPC4|SLC9A3R1|DCAF7|RAB10|CIT|RAB18|MYCBP2|SUN2|AATF|EXOSC3|NIN|CDK5RAP2|RTN4|MIB1|GORASP1|DNAJC19|ANO6|
GO:0048858	cell projection morphogenesis	biological_process	6	48	0.016251066	0.109433962	P61586|P05556|P61006|P61026|O75592|Q8N4C6|	RHOA|ITGB1|RAB8A|RAB10|MYCBP2|NIN|
GO:0048869	cellular developmental process	biological_process	26	1251	8.75E-05	0.009118541	P62330|P61586|P49454|P12109|Q7KZI7|P55085|Q92769|P05556|Q9P0L2|P61006|P50897|P17612|P62820|P35241|Q13310|O14745|P61026|O14578|O75592|P37198|Q9UH99|Q8N4C6|Q96SN8|Q9NQC3|Q86YT6|Q9BQQ3|	ARF6|RHOA|CENPF|COL6A1|MARK2|F2RL1|HDAC2|ITGB1|MARK1|RAB8A|PPT1|PRKACA|RAB1A|RDX|PABPC4|SLC9A3R1|RAB10|CIT|MYCBP2|NUP62|SUN2|NIN|CDK5RAP2|RTN4|MIB1|GORASP1|
GO:0048870	cell motility	biological_process	10	154	0.004047947	0.034602076	P61586|P05026|Q7KZI7|P55085|P05556|Q9P0L2|P62820|Q9UH99|Q9NQC3|Q4KMQ2|	RHOA|ATP1B1|MARK2|F2RL1|ITGB1|MARK1|RAB1A|SUN2|RTN4|ANO6|
GO:0048871	multicellular organismal homeostasis	biological_process	4	12	0.004956076	0.034602076	P17612|P13861|P31323|O76024|	PRKACA|PRKAR2A|PRKAR2B|WFS1|
GO:0048878	chemical homeostasis	biological_process	17	709	0.425715121	0.676428571	P05026|P38606|Q15904|P55085|P62873|P09601|P50897|P17612|P13861|P31323|P52306|O76024|P51149|O76061|O14745|P61916|Q9UJZ1|	ATP1B1|ATP6V1A|ATP6AP1|F2RL1|GNB1|HMOX1|PPT1|PRKACA|PRKAR2A|PRKAR2B|RAP1GDS1|WFS1|RAB7A|STC2|SLC9A3R1|NPC2|STOML2|
GO:0048880	sensory system development	biological_process	5	38	0.086952456	0.26221336	P35555|P35556|P62873|Q92769|Q9NP72|	FBN1|FBN2|GNB1|HDAC2|RAB18|
GO:0050000	chromosome localization	biological_process	3	14	0.344818652	0.591047041	P49454|P52948|P37198|	CENPF|NUP98|NUP62|
GO:0050321	tau-protein kinase activity	molecular_function	3	4	0.005483653	0.034602076	Q7KZI7|Q9P0L2|P27448|	MARK2|MARK1|MARK3|
GO:0050657	nucleic acid transport	biological_process	11	111	5.73E-09	0.009118541	Q99567|P52948|Q92900|P35658|P78406|Q9UN86|P61970|O95391|Q8TEM1|P37198|Q7Z3B4|	NUP88|NUP98|UPF1|NUP214|RAE1|G3BP2|NUTF2|SLU7|NUP210|NUP62|NUP54|
GO:0050658	RNA transport	biological_process	11	111	5.73E-09	0.009118541	Q99567|P52948|Q92900|P35658|P78406|Q9UN86|P61970|O95391|Q8TEM1|P37198|Q7Z3B4|	NUP88|NUP98|UPF1|NUP214|RAE1|G3BP2|NUTF2|SLU7|NUP210|NUP62|NUP54|
GO:0050660	flavin adenine dinucleotide binding	molecular_function	8	204	0.992924089	1	P11310|P00387|P13804|P55789|P16435|O00116|Q9H845|Q8IWF2|	ACADM|CYB5R3|ETFA|GFER|POR|AGPS|ACAD9|FOXRED2|
GO:0050662	coenzyme binding	molecular_function	10	325	0.996842201	1	P11310|P00387|P13804|P55789|O00469|P16435|O00116|Q9H845|Q5VT66|Q8IWF2|	ACADM|CYB5R3|ETFA|GFER|PLOD2|POR|AGPS|ACAD9|MARC1|FOXRED2|
GO:0050764	regulation of phagocytosis	biological_process	4	29	0.362863096	0.611028316	P55085|Q08431|Q12907|Q4KMQ2|	F2RL1|MFGE8|LMAN2|ANO6|
GO:0050766	positive regulation of phagocytosis	biological_process	4	29	0.362863096	0.611028316	P55085|Q08431|Q12907|Q4KMQ2|	F2RL1|MFGE8|LMAN2|ANO6|
GO:0050767	regulation of neurogenesis	biological_process	11	216	0.020245053	0.109433962	P62330|P61586|Q7KZI7|Q92769|Q9P0L2|O75592|Q8N4C6|Q96SN8|Q9NQC3|Q86YT6|Q9BQQ3|	ARF6|RHOA|MARK2|HDAC2|MARK1|MYCBP2|NIN|CDK5RAP2|RTN4|MIB1|GORASP1|
GO:0050768	negative regulation of neurogenesis	biological_process	7	66	0.007378307	0.109433962	P62330|P61586|Q92769|Q96SN8|Q9NQC3|Q86YT6|Q9BQQ3|	ARF6|RHOA|HDAC2|CDK5RAP2|RTN4|MIB1|GORASP1|
GO:0050769	positive regulation of neurogenesis	biological_process	4	25	0.190835669	0.404475043	P61586|Q7KZI7|Q92769|Q8N4C6|	RHOA|MARK2|HDAC2|NIN|
GO:0050770	regulation of axonogenesis	biological_process	5	42	0.160053634	0.379528986	P61586|Q7KZI7|O75592|Q8N4C6|Q9NQC3|	RHOA|MARK2|MYCBP2|NIN|RTN4|
GO:0050773	regulation of dendrite development	biological_process	5	40	0.119597726	0.319577735	P62330|P61586|Q92769|Q9P0L2|Q9BQQ3|	ARF6|RHOA|HDAC2|MARK1|GORASP1|
GO:0050776	regulation of immune response	biological_process	8	219	0.851712649	0.992215569	P55085|P09601|P05556|P17612|Q13546|Q9UHD2|Q9UJZ1|Q9NQT5|	F2RL1|HMOX1|ITGB1|PRKACA|RIPK1|TBK1|STOML2|EXOSC3|
GO:0050778	positive regulation of immune response	biological_process	6	137	0.919197375	1	P55085|P17612|Q13546|Q9UHD2|Q9UJZ1|Q9NQT5|	F2RL1|PRKACA|RIPK1|TBK1|STOML2|EXOSC3|
GO:0050789	regulation of biological process	biological_process	122	41044	0.001810272	0.034602076	P11310|O94973|Q08117|P62330|P61586|P05026|P38606|Q15904|P49454|Q96CW1|P19784|P67870|P26358|Q7KZI7|P27105|P55085|O95573|P35555|P35556|P55789|P06280|P62873|P63218|Q08379|Q14789|P13984|Q92769|P09601|P14735|P05556|Q9P0L2|P27448|P61006|Q08431|Q9HCE1|P52948|O95613|P09884|P16435|P50897|P17612|P13861|P31323|P62820|P61019|P51148|P11233|P35241|Q92900|P25440|Q04724|Q04726|Q15056|O76024|O75534|P51149|P35658|Q13617|P78406|O00203|O76061|Q13546|Q13310|O14745|Q5VU43|Q66GS9|Q9UN86|P62877|Q99996|Q13283|Q9H4P4|O00566|P61970|O43823|Q9Y4L1|P61916|P61026|Q13438|Q12907|Q7Z7A1|O14578|O95684|Q9BV73|Q96B26|Q9NP72|Q9Y2I6|Q9BS26|O75592|Q92552|Q92615|Q13868|O60885|P37198|Q9UH99|Q9Y3U8|Q8NEJ9|Q9NY61|P11940|Q96DZ1|Q9UHD2|Q9UJZ1|Q9NQT5|Q8N4C6|Q9BQ95|P61106|Q7Z3B4|Q9NXK8|Q96SN8|Q9H270|Q9NQT4|Q9NQC3|Q8IWA5|Q86YT6|Q9BQQ3|Q9C0D3|Q8NBJ5|Q8TAD8|Q9H7Z7|Q8N183|Q96HR9|Q4KMQ2|Q2T9J0|	ACADM|AP2A2|AES|ARF6|RHOA|ATP1B1|ATP6V1A|ATP6AP1|CENPF|AP2M1|CSNK2A2|CSNK2B|DNMT1|MARK2|STOM|F2RL1|ACSL3|FBN1|FBN2|GFER|GLA|GNB1|GNG5|GOLGA2|GOLGB1|GTF2F2|HDAC2|HMOX1|IDE|ITGB1|MARK1|MARK3|RAB8A|MFGE8|MOV10|NUP98|PCNT|POLA1|POR|PPT1|PRKACA|PRKAR2A|PRKAR2B|RAB1A|RAB2A|RAB5C|RALA|RDX|UPF1|BRD2|TLE1|TLE3|EIF4H|WFS1|CSDE1|RAB7A|NUP214|CUL2|RAE1|AP3B1|STC2|RIPK1|PABPC4|SLC9A3R1|PDE4DIP|CEP135|G3BP2|RBX1|AKAP9|G3BP1|RNF41|MPHOSPH10|NUTF2|AKAP8|HYOU1|NPC2|RAB10|OS9|LMAN2|CNTRL|CIT|FGFR1OP|CEP250|EXOSC8|RAB18|NINL|ERP44|MYCBP2|MRPS27|LARP4B|EXOSC2|BRD4|NUP62|SUN2|RPL36|NGDN|AATF|PABPC1|ERLEC1|TBK1|STOML2|EXOSC3|NIN|ECSIT|RAB14|NUP54|FBXL12|CDK5RAP2|VPS11|EXOSC5|RTN4|SLC44A2|MIB1|GORASP1|ZYG11B|COLGALT1|SNIP1|PTGES2|NDUFAF2|REEP6|ANO6|TYSND1|
GO:0050790	regulation of catalytic activity	biological_process	29	1822	0.010797874	0.109433962	P61586|P05026|P67870|Q7KZI7|P55085|P06280|Q08379|P05556|P16435|P50897|P17612|P13861|P31323|P62820|P52306|P35241|Q13546|O14745|Q99996|O00566|O95684|P37198|Q9NZL9|Q9BQ95|Q9H173|Q9BQQ3|Q9C0D3|Q9HAV7|Q96DA6|	RHOA|ATP1B1|CSNK2B|MARK2|F2RL1|GLA|GOLGA2|ITGB1|POR|PPT1|PRKACA|PRKAR2A|PRKAR2B|RAB1A|RAP1GDS1|RDX|RIPK1|SLC9A3R1|AKAP9|MPHOSPH10|FGFR1OP|NUP62|MAT2B|ECSIT|SIL1|GORASP1|ZYG11B|GRPEL1|DNAJC19|
GO:0050792	regulation of viral process	biological_process	3	12	0.204949155	0.432523051	P27105|P51149|P11940|	STOM|RAB7A|PABPC1|
GO:0050793	regulation of developmental process	biological_process	33	2487	0.00304291	0.034602076	O94973|P62330|P61586|Q15904|P49454|Q96CW1|P26358|Q7KZI7|P35555|P35556|P63218|Q92769|P09601|P05556|Q9P0L2|Q9HCE1|P16435|P17612|P35241|O00203|O76061|Q13546|O14745|Q9H4P4|O75592|Q9NQT5|Q8N4C6|P61106|Q96SN8|Q9NQC3|Q86YT6|Q9BQQ3|Q4KMQ2|	AP2A2|ARF6|RHOA|ATP6AP1|CENPF|AP2M1|DNMT1|MARK2|FBN1|FBN2|GNG5|HDAC2|HMOX1|ITGB1|MARK1|MOV10|POR|PRKACA|RDX|AP3B1|STC2|RIPK1|SLC9A3R1|RNF41|MYCBP2|EXOSC3|NIN|RAB14|CDK5RAP2|RTN4|MIB1|GORASP1|ANO6|
GO:0050794	regulation of cellular process	biological_process	115	36296	0.019758799	0.109433962	O94973|Q08117|P62330|P61586|P05026|P38606|Q15904|P49454|Q96CW1|P19784|P67870|P26358|Q7KZI7|P55085|O95573|P35555|P35556|P55789|P06280|P62873|P63218|Q08379|Q14789|P13984|Q92769|P09601|P14735|P05556|Q9P0L2|P27448|P61006|Q08431|Q9HCE1|P52948|O95613|P09884|P16435|P50897|P17612|P13861|P31323|P62820|P61019|P51148|P11233|P35241|Q92900|P25440|Q04724|Q04726|Q15056|O76024|O75534|P51149|P35658|Q13617|P78406|O00203|O76061|Q13546|Q13310|O14745|Q5VU43|Q66GS9|Q9UN86|P62877|Q99996|Q13283|Q9H4P4|O00566|O43823|Q9Y4L1|P61916|P61026|Q13438|Q12907|Q7Z7A1|O14578|O95684|Q9BV73|Q96B26|Q9NP72|Q9Y2I6|Q9BS26|O75592|Q92552|Q92615|Q13868|O60885|P37198|Q9UH99|Q8NEJ9|Q9NY61|P11940|Q96DZ1|Q9UHD2|Q9UJZ1|Q9NQT5|Q8N4C6|P61106|Q9NXK8|Q96SN8|Q9H270|Q9NQT4|Q9NQC3|Q8IWA5|Q86YT6|Q9BQQ3|Q9C0D3|Q8NBJ5|Q8TAD8|Q9H7Z7|Q8N183|Q4KMQ2|Q2T9J0|	AP2A2|AES|ARF6|RHOA|ATP1B1|ATP6V1A|ATP6AP1|CENPF|AP2M1|CSNK2A2|CSNK2B|DNMT1|MARK2|F2RL1|ACSL3|FBN1|FBN2|GFER|GLA|GNB1|GNG5|GOLGA2|GOLGB1|GTF2F2|HDAC2|HMOX1|IDE|ITGB1|MARK1|MARK3|RAB8A|MFGE8|MOV10|NUP98|PCNT|POLA1|POR|PPT1|PRKACA|PRKAR2A|PRKAR2B|RAB1A|RAB2A|RAB5C|RALA|RDX|UPF1|BRD2|TLE1|TLE3|EIF4H|WFS1|CSDE1|RAB7A|NUP214|CUL2|RAE1|AP3B1|STC2|RIPK1|PABPC4|SLC9A3R1|PDE4DIP|CEP135|G3BP2|RBX1|AKAP9|G3BP1|RNF41|MPHOSPH10|AKAP8|HYOU1|NPC2|RAB10|OS9|LMAN2|CNTRL|CIT|FGFR1OP|CEP250|EXOSC8|RAB18|NINL|ERP44|MYCBP2|MRPS27|LARP4B|EXOSC2|BRD4|NUP62|SUN2|NGDN|AATF|PABPC1|ERLEC1|TBK1|STOML2|EXOSC3|NIN|RAB14|FBXL12|CDK5RAP2|VPS11|EXOSC5|RTN4|SLC44A2|MIB1|GORASP1|ZYG11B|COLGALT1|SNIP1|PTGES2|NDUFAF2|ANO6|TYSND1|
GO:0050801	ion homeostasis	biological_process	14	490	0.556745295	0.785810811	P05026|P38606|Q15904|P55085|P62873|P09601|P50897|P17612|P52306|O76024|P51149|O76061|O14745|Q9UJZ1|	ATP1B1|ATP6V1A|ATP6AP1|F2RL1|GNB1|HMOX1|PPT1|PRKACA|RAP1GDS1|WFS1|RAB7A|STC2|SLC9A3R1|STOML2|
GO:0050803	regulation of synapse structure or activity	biological_process	3	12	0.204949155	0.432523051	P62330|P61586|P50897|	ARF6|RHOA|PPT1|
GO:0050804	modulation of chemical synaptic transmission	biological_process	5	12	9.29E-05	0.009118541	P05556|P61006|P17612|P31323|Q99996|	ITGB1|RAB8A|PRKACA|PRKAR2B|AKAP9|
GO:0050817	coagulation	biological_process	9	128	0.010655349	0.109433962	P55085|P62873|Q92769|P17612|P13861|P31323|O00203|Q13310|Q4KMQ2|	F2RL1|GNB1|HDAC2|PRKACA|PRKAR2A|PRKAR2B|AP3B1|PABPC4|ANO6|
GO:0050821	protein stabilization	biological_process	4	29	0.362863096	0.611028316	P05026|O76024|Q7Z5G4|Q9NQC3|	ATP1B1|WFS1|GOLGA7|RTN4|
GO:0050839	cell adhesion molecule binding	molecular_function	10	179	0.031326605	0.26221336	Q7KZI7|P35555|Q08379|P05556|Q08431|P62820|P35241|Q15056|P61026|Q9NQC3|	MARK2|FBN1|GOLGA2|ITGB1|MFGE8|RAB1A|RDX|EIF4H|RAB10|RTN4|
GO:0050865	regulation of cell activation	biological_process	6	109	0.45466616	0.69540636	P61586|P55085|P09601|O00203|Q9H4P4|Q9NQT5|	RHOA|F2RL1|HMOX1|AP3B1|RNF41|EXOSC3|
GO:0050867	positive regulation of cell activation	biological_process	4	52	0.467949169	0.715589888	P61586|P55085|O00203|Q9NQT5|	RHOA|F2RL1|AP3B1|EXOSC3|
GO:0050877	nervous system process	biological_process	13	371	0.184079335	0.401050788	P62873|P05556|Q9Y6M9|P50897|P31323|O76024|O14745|O75592|P62072|Q9Y5J7|Q9Y5J9|Q96HR9|Q96DA6|	GNB1|ITGB1|NDUFB9|PPT1|PRKAR2B|WFS1|SLC9A3R1|MYCBP2|TIMM10|TIMM9|TIMM8B|REEP6|DNAJC19|
GO:0050878	regulation of body fluid levels	biological_process	10	169	0.01476999	0.109433962	P55085|P62873|Q92769|P17612|P13861|P31323|O76024|O00203|Q13310|Q4KMQ2|	F2RL1|GNB1|HDAC2|PRKACA|PRKAR2A|PRKAR2B|WFS1|AP3B1|PABPC4|ANO6|
GO:0050880	regulation of blood vessel size	biological_process	4	20	0.063023331	0.26221336	P61586|P55085|P09601|P52306|	RHOA|F2RL1|HMOX1|RAP1GDS1|
GO:0050890	cognition	biological_process	3	13	0.270376671	0.495238095	P05556|P50897|P31323|	ITGB1|PPT1|PRKAR2B|
GO:0050891	multicellular organismal water homeostasis	biological_process	4	12	0.004956076	0.034602076	P17612|P13861|P31323|O76024|	PRKACA|PRKAR2A|PRKAR2B|WFS1|
